Method,numP,Width,Height,Ratio,Sample Index,Time (s),Status
SSI,314,50,50,0.14,56,0.025,Completed
SSI,314,50,50,0.14,57,0.030,Completed
SSI,314,50,50,0.14,58,0.027,Completed
SSI,314,50,50,0.14,59,0.029,Completed
SSI,314,50,50,0.14,60,0.026,Completed
SSI,314,50,50,0.14,61,0.021,Completed
SSI,314,50,50,0.14,62,0.033,Completed
SSI,314,50,50,0.14,63,0.023,Completed
SSI,314,50,50,0.14,64,0.026,Completed
SSI,314,50,50,0.14,65,0.029,Completed
SSI,314,50,50,0.14,66,0.021,Completed
SSI,314,50,50,0.14,67,0.023,Completed
SSI,314,50,50,0.14,68,0.030,Completed
SSI,314,50,50,0.14,69,0.029,Completed
SSI,314,50,50,0.14,70,0.031,Completed
SSI,314,50,50,0.14,71,0.031,Completed
SSI,314,50,50,0.14,72,0.033,Completed
SSI,314,50,50,0.14,73,0.026,Completed
SSI,314,50,50,0.14,74,0.024,Completed
SSI,314,50,50,0.14,75,0.032,Completed
SSI,314,50,50,0.14,76,0.027,Completed
SSI,314,50,50,0.14,77,0.028,Completed
SSI,314,50,50,0.14,78,0.026,Completed
SSI,314,50,50,0.14,79,0.030,Completed
SSI,314,50,50,0.14,80,0.034,Completed
SSI,314,50,50,0.14,81,0.031,Completed
SSI,314,50,50,0.14,82,0.028,Completed
SSI,314,50,50,0.14,83,0.025,Completed
SSI,314,50,50,0.14,84,0.021,Completed
SSI,314,50,50,0.14,85,0.023,Completed
SSI,314,50,50,0.14,86,0.027,Completed
SSI,314,50,50,0.14,87,0.030,Completed
SSI,314,50,50,0.14,88,0.029,Completed
SSI,314,50,50,0.14,89,0.027,Completed
SSI,314,50,50,0.14,90,0.028,Completed
SSI,314,50,50,0.14,91,0.026,Completed
SSI,314,50,50,0.14,92,0.023,Completed
SSI,314,50,50,0.14,93,0.032,Completed
SSI,314,50,50,0.14,94,0.029,Completed
SSI,314,50,50,0.14,95,0.028,Completed
SSI,314,50,50,0.14,96,0.026,Completed
SSI,314,50,50,0.14,97,0.031,Completed
SSI,314,50,50,0.14,98,0.025,Completed
SSI,314,50,50,0.14,99,0.029,Completed
SSI,314,50,50,0.15,0,0.033,Completed
SSI,314,50,50,0.15,1,0.026,Completed
SSI,314,50,50,0.15,2,0.023,Completed
SSI,314,50,50,0.15,3,0.024,Completed
SSI,314,50,50,0.15,4,0.023,Completed
SSI,314,50,50,0.15,5,0.025,Completed
SSI,314,50,50,0.15,6,0.030,Completed
SSI,314,50,50,0.15,7,0.032,Completed
SSI,314,50,50,0.15,8,0.032,Completed
SSI,314,50,50,0.15,9,0.030,Completed
SSI,314,50,50,0.15,10,0.024,Completed
SSI,314,50,50,0.15,11,0.032,Completed
SSI,314,50,50,0.15,12,0.029,Completed
SSI,314,50,50,0.15,13,0.033,Completed
SSI,314,50,50,0.15,14,0.028,Completed
SSI,314,50,50,0.15,15,0.030,Completed
SSI,314,50,50,0.15,16,0.030,Completed
SSI,314,50,50,0.15,17,0.030,Completed
SSI,314,50,50,0.15,18,0.026,Completed
SSI,314,50,50,0.15,19,0.027,Completed
SSI,314,50,50,0.15,20,0.031,Completed
SSI,314,50,50,0.15,21,0.034,Completed
SSI,314,50,50,0.15,22,0.021,Completed
SSI,314,50,50,0.15,23,0.020,Completed
SSI,314,50,50,0.15,24,0.024,Completed
SSI,314,50,50,0.15,25,0.030,Completed
SSI,314,50,50,0.15,26,0.028,Completed
SSI,314,50,50,0.15,27,0.034,Completed
SSI,314,50,50,0.15,28,0.027,Completed
SSI,314,50,50,0.15,29,0.043,Completed
SSI,314,50,50,0.15,30,0.028,Completed
SSI,314,50,50,0.15,31,0.026,Completed
SSI,314,50,50,0.15,32,0.024,Completed
SSI,314,50,50,0.15,33,0.024,Completed
